#code,score
1a30,4.5106835
1bcu,3.6621485
1bzc,5.2304435
1c5z,4.213536
1e66,9.501031
1eby,9.099784
1g2k,8.114037
1gpk,5.800916
1gpn,6.4787683
1h22,8.979051
1h23,9.332149
1k1i,6.752845
1lpg,7.237795
1mq6,10.966049
1nc1,6.270488
1nc3,5.157335
1nvq,8.203162
1o0h,6.014778
1o3f,7.8098836
1o5b,5.660668
1owh,7.239349
1oyt,7.3571405
1p1n,6.7032514
1p1q,5.3916664
1ps3,5.5125184
1pxn,7.009443
1q8t,4.9715667
1q8u,6.7504125
1qf1,7.3466563
1qkt,8.798112
1r5y,6.3505554
1s38,5.61016
1sqa,7.8228803
1syi,5.721337
1u1b,7.8626394
1uto,2.6916935
1vso,4.8711157
1w4o,4.9916363
1y6r,9.986815
1yc1,6.329772
1ydr,5.627213
1ydt,7.0596313
1z6e,9.57365
1z95,7.32696
1z9g,5.547103
2al5,7.7868137
2br1,5.571497
2brb,5.7496977
2c3i,7.1458254
2cbv,5.390979
2cet,7.789839
2fvd,7.7698116
2fxs,5.965474
2hb1,4.0370545
2iwx,5.840763
2j78,5.748344
2j7h,7.260401
2p15,10.0557995
2p4y,8.793517
2pog,8.904422
2qbp,8.090772
2qbq,7.390316
2qbr,6.2059064
2qe4,8.120402
2qnq,6.1916137
2r9w,5.236613
2v00,3.730621
2v7a,8.142581
2vkm,8.644149
2vvn,7.605577
2vw5,6.598265
2w4x,4.9901247
2w66,4.5237994
2wbg,5.1512613
2wca,6.0999994
2weg,6.5869503
2wer,7.232987
2wn9,7.741057
2wnc,6.442572
2wtv,8.123951
2wvt,5.8238025
2x00,10.820378
2xb8,5.9277062
2xbv,8.227751
2xdl,3.7714539
2xii,8.967671
2xj7,6.2887664
2xnb,6.9100933
2xys,7.3568
2y5h,5.8771276
2yfe,6.481187
2yge,5.4026027
2yki,9.224907
2ymd,3.3393168
2zb1,6.938897
2zcq,8.529332
2zcr,7.1258163
2zda,7.865503
2zy1,7.0053887
3acw,5.0754175
3ag9,7.9533143
3ao4,2.2801387
3arp,6.911185
3arq,6.2937374
3aru,3.7362359
3arv,5.810741
3ary,5.570215
3b1m,7.708837
3b27,5.1641297
3b5r,8.666231
3b65,9.123369
3b68,8.523984
3bgz,6.090224
3bv9,5.429563
3cj4,6.252935
3coy,6.007225
3coz,5.693756
3d4z,4.8899093
3d6q,3.6540384
3dd0,8.341871
3dx1,4.1853137
3dx2,6.913339
3dxg,3.297496
3e5a,8.210931
3e92,8.231206
3e93,8.745324
3ebp,6.1090417
3ehy,6.0290055
3ejr,8.175927
3f3a,5.55432
3f3c,6.065028
3f3d,6.8970947
3f3e,7.51634
3fcq,4.666397
3fur,7.751578
3fv1,9.199583
3fv2,8.099841
3g0w,9.294839
3g2n,4.096638
3g2z,2.6013072
3g31,3.3129299
3gbb,6.8222685
3gc5,7.334596
3ge7,8.434324
3gnw,8.80047
3gr2,2.8460553
3gv9,2.4786477
3gy4,4.7506223
3ivg,4.6132574
3jvr,5.692598
3jvs,6.390803
3jya,6.8791466
3k5v,6.759268
3kgp,3.0769455
3kr8,8.129859
3kwa,4.217967
3l7b,2.4187114
3lka,3.4798365
3mss,4.7858353
3myg,10.564596
3n76,6.5570602
3n7a,4.006285
3n86,5.7470984
3nq9,4.4849896
3nw9,8.712463
3nx7,7.99116
3o9i,11.7451105
3oe4,7.3323827
3oe5,5.8477874
3ozs,5.5405135
3ozt,4.062203
3p5o,7.0904207
3prs,8.125159
3pww,7.3321633
3pxf,4.7165823
3pyy,6.9059067
3qgy,7.13084
3qqs,4.3003874
3r88,4.5292315
3rlr,7.8081126
3rr4,4.7227
3rsx,4.474449
3ryj,7.8103104
3syr,4.8685155
3tsk,7.2657666
3twp,3.829144
3u5j,5.646002
3u8k,8.245676
3u8n,9.9350605
3u9q,4.63907
3udh,3.0330904
3ueu,5.1129565
3uev,5.5167036
3uew,6.100729
3uex,6.370699
3ui7,8.647806
3uo4,6.8835516
3up2,7.3153996
3uri,8.846424
3utu,10.840887
3uuo,7.663684
3wtj,6.709878
3wz8,5.4792476
3zdg,7.2725635
3zso,4.756461
3zsx,3.5885916
3zt2,3.1910596
4abg,3.65955
4agn,4.3752213
4agp,4.6330714
4agq,4.6506214
4bkt,3.8867939
4cig,4.2072916
4ciw,4.814953
4cr9,3.741932
4cra,7.425131
4crc,8.593994
4ddh,3.1964269
4ddk,2.4309216
4de1,5.8603945
4de2,4.2974696
4de3,5.3057933
4djv,6.4659295
4dld,5.8242383
4dli,5.8605857
4e5w,7.7901397
4e6q,8.103206
4ea2,6.410527
4eky,3.8892326
4eo8,7.9265604
4eor,6.8900747
4f09,6.9129024
4f2w,11.333914
4f3c,11.643692
4f9w,6.8547416
4gfm,6.2046247
4gid,10.131015
4gkm,4.8981113
4gr0,9.46121
4hge,7.722905
4ih5,4.306581
4ih7,5.345013
4ivb,8.899962
4ivc,9.532058
4ivd,9.349579
4j21,7.2451277
4j28,6.0336385
4j3l,7.58597
4jfs,5.3867435
4jia,8.671475
4jsz,3.0118191
4jxs,4.8462615
4k18,8.723556
4k77,6.7318234
4kz6,3.3597229
4kzq,6.3263526
4kzu,6.7652783
4llx,3.534057
4lzs,4.351674
4m0y,6.1746564
4m0z,6.9292917
4mgd,4.9216633
4mme,6.5461855
4ogj,6.5451465
4owm,3.4721165
4pcs,7.603037
4qac,9.529497
4qd6,7.7947946
4rfm,9.825828
4tmn,9.822665
4twp,9.632552
4ty7,9.419033
4u4s,5.076115
4w9c,4.8655496
4w9h,6.447359
4w9i,5.945174
4w9l,5.3721013
4wiv,6.289103
4x6p,8.493552
5a7b,3.8108125
5aba,3.1702998
5c28,5.090983
5c2h,10.497969
5dwr,10.973179
5tmn,7.8819895
